"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"146","Bilal Powell","RB","Louisville",2011,"NYJ",4,126,"PoweBi00",109,30,4.40366972477064,70.5,207,NA,4.52,18,NA,NA,NA,NA,NA,NA
"147","Najeh Davenport","RB",NA,2002,"GB",4,135,"DaveNa00",73,20,4.38356164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","D'Onta Foreman","RB","Texas",2017,"HOU",3,89,"ForeDO00",11,3,4.36363636363636,72.25,233,NA,NA,18,NA,NA,4.28,NA,NA,NA
"149","Mewelde Moore","RB","Tulane (LA)",2004,"MIN",4,119,"MoorMe00",122,33,4.32786885245902,70.6,209,NA,4.62,NA,35,118,4.12,7.05,NA,NA
"150","Leon Washington","RB","Florida State",2006,"NYJ",4,117,"WashLe00",126,34,4.31746031746032,67.88,201,NA,4.49,17,32.5,105,4.37,6.94,1,1
"151","Royce Freeman","RB","Oregon",2018,"DEN",3,71,"FreeRo00",30,8,4.26666666666667,71.5,229,NA,4.54,17,34,118,4.16,6.9,NA,NA
"152","Tony Pollard","RB","Memphis",2019,"DAL",4,128,"PollTo00",15,4,4.26666666666667,71.625,210,NA,4.52,13,35,121,NA,NA,NA,NA
"153","Alfred Blue","RB","Louisiana State",2014,"HOU",6,181,"BlueAl00",72,19,4.22222222222222,74.375,223,NA,4.63,13,32,121,4.5,7.15,NA,NA
"154","Ron Dayne","RB",NA,2000,"NYG",1,11,"DaynRo00",96,25,4.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Daryl Richardson","RB","Abilene Christian (TX)",2012,"STL",7,252,"RichDa00",27,7,4.14814814814815,70.375,192,NA,4.47,NA,NA,NA,NA,NA,NA,NA
"156","LenDale White","RB","Southern California",2006,"TEN",2,45,"WhitLe01",58,15,4.13793103448276,72.375,238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Chris Perry","RB","Michigan",2004,"CIN",1,26,"PerrCh00",35,9,4.11428571428571,72,224,NA,4.55,19,NA,NA,NA,NA,NA,NA
"158","Reuben Droughns","RB","Oregon",2000,"DET",3,81,"DrouRe00",114,29,4.07017543859649,71.3,215,NA,4.68,13,30,115,4.41,7.34,NA,NA
"159","Cedric Houston","RB","Tennessee",2005,"NYJ",6,182,"HousCe00",20,5,4,70.75,225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Elijah McGuire","RB","Louisiana-Lafayette",2017,"NYJ",6,188,"McGuEl00",24,6,4,69.75,214,NA,4.53,15,36,120,4.56,7.26,NA,NA
"161","T.J. Duckett","RB",NA,2002,"ATL",1,18,"DuckT.00",93,23,3.95698924731183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
