"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"36","Mitch Trubisky","QB",NA,2017,"CHI",1,2,"TrubMi00",41,28,10.9268292682927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Marc Bulger","QB","West Virginia",2000,"NO",6,168,"BulgMa00",96,64,10.6666666666667,73.6,208,29,4.96,NA,NA,100,4.34,7.46,2,NA
"38","Josh Freeman","QB","Kansas State",2009,"TB",1,17,"FreeJo00",62,41,10.5806451612903,77.75,248,27,4.9,NA,33.5,119,4.43,7.11,NA,NA
"39","Derek Carr","QB","Frenso State (CA)",2014,"OAK",2,36,"CarrDe02",94,61,10.3829787234043,74.375,214,20,4.69,NA,34.5,110,4.2,NA,3,NA
"40","Teddy Bridgewater","QB","Louisville",2014,"MIN",1,32,"BridTe00",44,28,10.1818181818182,74.125,214,20,NA,NA,30,112,4.2,7.17,1,NA
"41","Jacoby Brissett","QB","North Carolina State",2016,"NE",3,91,"BrisJa00",38,24,10.1052631578947,75.75,231,NA,4.94,NA,31,113,4.53,7.17,NA,NA
"42","Blake Bortles","QB","Central Florida",2014,"JAX",1,3,"BortBl00",78,48,9.84615384615385,77,232,28,4.93,NA,32.5,114,4.21,7.08,NA,NA
"43","Ryan Fitzpatrick","QB","Harvard",2005,"STL",7,250,"FitzRy00",156,96,9.84615384615385,74.375,232,48,4.87,NA,30.5,103,4.07,7.09,NA,NA
"44","Tyrod Taylor","QB","Virginia Tech",2011,"BAL",6,180,"TaylTy00",70,43,9.82857142857143,72.75,217,NA,4.47,NA,37.5,126,4.09,6.78,1,NA
"45","Josh Allen","QB","Wyoming",2018,"BUF",1,7,"AlleJo02",28,17,9.71428571428571,76.875,237,NA,4.75,NA,33.5,119,4.4,6.9,NA,NA
"46","Christian Ponder","QB","Florida State",2011,"MIN",1,12,"PondCh00",38,23,9.68421052631579,74,229,35,4.63,NA,34,116,4.09,6.85,NA,NA
"47","Byron Leftwich","QB","Marshall (WV)",2003,"JAX",1,7,"LeftBy00",60,36,9.6,77.4,241,25,5.1,NA,NA,NA,NA,NA,NA,NA
"48","Vince Young","QB","Texas",2006,"TEN",1,3,"YounVi00",60,36,9.6,76.6,229,15,4.48,NA,NA,NA,NA,NA,2,NA
"49","Jimmy Garoppolo","QB","Eastern Illinois",2014,"NE",2,62,"GaroJi00",42,25,9.52380952380952,74.25,226,24,4.97,NA,30.5,110,4.26,7.04,NA,NA
"50","Sam Bradford","QB","Oklahoma",2010,"STL",1,1,"BradSa00",83,49,9.44578313253012,76.25,236,36,4.79,NA,NA,NA,NA,NA,NA,NA
"51","Jason Campbell","QB","Auburn",2005,"WAS",1,25,"CampJa00",90,53,9.42222222222222,76.75,230,28,4.72,NA,NA,NA,NA,7.42,NA,NA
"52","Nick Foles","QB","Arizona",2012,"PHI",3,88,"FoleNi00",58,32,8.82758620689655,77,243,29,5.03,NA,30.5,112,NA,NA,1,NA
"53","C.J. Beathard","QB","Iowa",2017,"SF",3,104,"BeatC.00",13,7,8.61538461538461,74.125,219,26,NA,NA,31,113,NA,NA,NA,NA
"54","Jake Locker","QB","Washington",2011,"TEN",1,8,"LockJa00",30,16,8.53333333333333,74.5,231,20,4.51,NA,35,115,4.12,6.77,NA,NA
"55","Matt Schaub","QB","Virginia",2004,"ATL",3,90,"SchaMa00",154,81,8.41558441558442,77.6,243,30,5.05,NA,30.5,110,4.62,7.65,2,NA
"56","Kyle Orton","QB","Purdue",2005,"CHI",4,106,"OrtoKy00",87,45,8.27586206896552,76,233,27,5.11,NA,26.5,NA,4.52,7.38,NA,NA
"57","David Carr","QB","Frenso State (CA)",2002,"HOU",1,1,"CarrDa00",94,48,8.17021276595745,75.4,223,24,4.67,NA,35,106,4.28,7.05,NA,NA
"58","Sam Darnold","QB","Southern California",2018,"NYJ",1,3,"DarnSa00",26,13,8,75.375,221,NA,4.85,NA,26.5,105,4.4,6.96,NA,NA
"59","Trevor Siemian","QB","Northwestern",2015,"DEN",7,250,"SiemTr00",27,13,7.7037037037037,74.875,210,NA,4.94,NA,NA,NA,NA,NA,NA,NA
"60","Mark Sanchez","QB","Southern California",2009,"NYJ",1,5,"SancMa00",79,38,7.69620253164557,74.125,227,28,4.93,NA,32.5,116,4.21,7.06,NA,NA
"61","Trent Edwards","QB","Stanford",2007,"BUF",3,92,"EdwaTr01",38,18,7.57894736842105,76.125,231,31,4.78,19,NA,NA,4.46,7.14,NA,NA
"62","Matt Cassel","QB",NA,2005,"NE",7,230,"CassMa00",108,51,7.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Rex Grossman","QB","Florida",2003,"CHI",1,22,"GrosRe00",54,25,7.40740740740741,73,217,29,5.06,NA,NA,NA,NA,NA,NA,NA
"64","Josh McCown","QB","Sam Houston State (TX)",2002,"ARI",3,81,"McCoJo01",102,47,7.37254901960784,75.9,221,30,4.64,NA,38.5,118,3.9,6.85,NA,NA
"65","Mike Glennon","QB","North Carolina State",2013,"TB",3,73,"GlenMi00",29,13,7.17241379310345,79.125,225,26,4.94,NA,26.5,102,4.52,7.49,NA,NA
"66","J.P. Losman","QB","Tulane (LA)",2004,"BUF",1,22,"LosmJ.00",45,20,7.11111111111111,74.3,224,31,4.7,NA,33,116,NA,NA,NA,NA
"67","John Beck","QB","Brigham Young",2007,"MIA",2,40,"BeckJo00",9,4,7.11111111111111,74.125,215,30,4.78,NA,29.5,111,4.17,6.81,NA,NA
"68","Brandon Weeden","QB","Oklahoma State",2012,"CLE",1,22,"WeedBr00",35,15,6.85714285714286,75.5,221,27,4.89,NA,NA,NA,NA,NA,NA,NA
"69","Chad Henne","QB","Michigan",2008,"MIA",2,57,"HennCh01",68,29,6.82352941176471,74.88,230,22,4.95,NA,25.5,106,4.4,7.17,NA,NA
"70","Jeff Driskel","QB","Louisiana Tech",2016,"SF",6,207,"DrisJe00",12,5,6.66666666666667,76,234,NA,4.56,NA,32,122,4.25,7.19,NA,NA
"71","Joey Harrington","QB","Oregon",2002,"DET",1,3,"HarrJo00",81,33,6.51851851851852,76,215,32,4.85,NA,32,107,4.21,7,NA,NA
"72","Patrick Ramsey","QB","Tulane (LA)",2002,"WAS",1,32,"RamsPa00",37,15,6.48648648648649,74.5,219,32,5.24,NA,33.5,111,4.09,7.12,NA,NA
"73","Bryce Petty","QB","Baylor",2015,"NYJ",4,103,"PettBr01",10,4,6.4,74.875,230,31,4.87,NA,34,121,4.13,6.91,NA,NA
"74","Geno Smith","QB","West Virginia",2013,"NYJ",2,39,"SmitGe00",40,16,6.4,74.375,218,24,4.58,NA,33.5,124,NA,NA,NA,NA
"75","Tarvaris Jackson","QB","Alabama State",2006,"MIN",2,64,"JackTa00",59,23,6.23728813559322,74,226,19,4.7,22,31.5,107,4.38,7.4,NA,NA
"76","Kevin Kolb","QB","Houston",2007,"PHI",2,36,"KolbKe00",34,13,6.11764705882353,75.13,218,NA,4.89,NA,32.5,112,4.44,6.94,NA,NA
