"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"79",486,"A.J. Hawk","LB","Ohio State",2006,"GB",1,5,"HawkA.20",159,74,7.446540881,73,248,NA,4.64,24,40,115,3.96,6.82,NA,NA
"80",493,"LeRoy Hill","LB",NA,2005,"SEA",3,98,"HillLe20",97,45,7.422680412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",504,"Cato June","LB",NA,2003,"IND",6,198,"JuneCa99",89,41,7.370786517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",521,"Kyle Van Noy","LB","Brigham Young",2014,"DET",2,40,"VanNKy00",81,37,7.308641975,75.125,243,NA,4.71,21,32.5,111,4.2,7.22,NA,NA
"83",529,"Avery Williamson","LB","Kentucky",2014,"TEN",5,151,"WillAv00",79,36,7.291139241,73,246,NA,4.66,25,30.5,120,4.07,7.11,NA,NA
"84",548,"Rashaan Evans","LB","Alabama",2018,"TEN",1,22,"EvanRa01",31,14,7.225806452,73.875,232,NA,NA,NA,30,116,4.36,6.95,NA,NA
"85",551,"Zach Brown","LB","North Carolina",2012,"TEN",2,52,"BrowZa00",100,45,7.2,73.25,244,NA,4.44,NA,33.5,116,NA,NA,NA,NA
"86",556,"D.J. Williams","LB",NA,2004,"DEN",1,17,"WillD.20",145,65,7.172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",570,"Rolando McClain","LB","Alabama",2010,"OAK",1,8,"McClRo00",65,29,7.138461538,75.375,249,NA,4.68,24,NA,NA,NA,NA,NA,NA
"88",586,"Cliff Avril","LB","Purdue",2008,"DET",3,92,"AvriCl99",140,62,7.085714286,74.875,253,NA,4.63,27,32.5,117,4.51,6.9,NA,NA
"89",587,"Joe Schobert","LB","Wisconsin",2016,"CLE",4,99,"SchoJo00",61,27,7.081967213,73.375,244,NA,4.76,22,33.5,111,4.3,7.11,NA,NA
"90",604,"Tommy Polley","LB",NA,2001,"STL",2,42,"PollTo21",73,32,7.01369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",612,"Mack Wilson","LB","Alabama",2019,"CLE",5,155,"WilsMa03",16,7,7,73.125,240,NA,NA,NA,32,117,NA,NA,NA,NA
"92",614,"Odell Thurman","LB","Georgia",2005,"CIN",2,48,"ThurOd20",16,7,7,72.125,233,NA,4.7,23,34,113,4.28,7.47,NA,NA
"93",621,"Vic Beasley","LB","Clemson",2015,"ATL",1,8,"BeasVi00",78,34,6.974358974,75,246,29,4.53,35,41,130,4.15,6.91,NA,NA
"94",625,"Nigel Bradham","LB","Florida State",2012,"BUF",4,105,"BradNi00",115,50,6.956521739,73.875,241,NA,4.56,24,37,121,4.37,7.18,NA,NA
"95",634,"Brandon Marshall","LB","Nevada",2012,"JAX",5,142,"MarsBr01",74,32,6.918918919,73.375,242,NA,4.72,28,30.5,108,4.09,7.05,NA,NA
"96",637,"E.J. Henderson","LB","Maryland",2003,"MIN",2,40,"HendE.20",125,54,6.912,72.9,245,NA,4.8,20,NA,NA,NA,NA,1,NA
"97",644,"Chris Borland","LB","Wisconsin",2014,"SF",3,77,"BorlCh00",14,6,6.857142857,71.5,248,32,4.83,27,31,113,4.27,7.18,NA,NA
"98",648,"Koa Misi","LB","Utah",2010,"MIA",2,40,"MisiKo99",84,36,6.857142857,74.625,251,NA,4.75,NA,38,127,4.27,7.07,NA,NA
"99",652,"Mychal Kendricks","LB","California",2012,"PHI",2,46,"KendMy00",103,44,6.834951456,71.125,239,NA,4.44,24,39.5,127,4.19,NA,NA,NA
"100",653,"Channing Crowder","LB","Florida",2005,"MIA",3,70,"CrowCh20",82,35,6.829268293,74.25,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",654,"Dhani Jones","LB","Michigan",2000,"NYG",6,177,"JoneDh20",157,67,6.828025478,73.1,240,NA,4.69,29,NA,NA,NA,NA,NA,NA
"102",655,"Ben Leber","LB","Kansas State",2002,"SD",3,71,"LebeBe20",143,61,6.825174825,75,244,NA,4.62,20,32.5,114,4.25,6.75,NA,NA
"103",665,"Kawika Mitchell","LB","South Florida",2003,"KC",2,47,"MitcKa20",97,41,6.762886598,73,253,NA,4.69,25,37,117,4.24,7.32,NA,NA
"104",674,"Mason Foster","LB","Washington",2011,"TB",3,84,"FostMa00",107,45,6.728971963,73.25,245,NA,4.75,22,31,110,4.45,7.14,NA,NA
"105",676,"Bradie James","LB","Louisiana State",2003,"DAL",4,103,"JameBr20",157,66,6.72611465,74.4,242,NA,4.71,NA,32.5,113,4.52,7.53,NA,NA
"106",682,"Scott Fujita","LB","California",2002,"KC",5,143,"FujiSc20",143,60,6.713286713,77.5,248,NA,4.63,20,42,122,4.21,7.09,NA,NA
"107",690,"Na'il Diggs","LB",NA,2000,"GB",4,98,"DiggNa20",170,71,6.682352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",694,"Jordan Jenkins","LB","Georgia",2016,"NYJ",3,83,"JenkJo01",60,25,6.666666667,74.625,259,NA,4.8,16,36.5,121,NA,NA,NA,NA
"109",699,"Bud Dupree","LB",NA,2015,"PIT",1,22,"DuprAl00",70,29,6.628571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",713,"Larry Foote","LB","Michigan",2002,"PIT",4,128,"FootLa20",187,77,6.588235294,72.9,231,NA,4.85,24,30,NA,4.41,7.18,NA,NA
